,Country,Region,Year,Water Source Type,Water Treatment Method,"Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
2022,Bangladesh,West,2002,Tap,,8,23,3.32,98534,0.92,18.71,40.68,340,31.76,250
2023,Pakistan,Central,2015,Well,Filtration,11,49,90.23,13953,40.3,73.68,55.7,1540,10.03,105
2024,Mexico,West,2007,Pond,Boiling,16,58,94.79,86805,28.06,79.73,36.28,2810,25.39,319
2025,Brazil,North,2011,Well,,15,64,5.69,59506,47.96,42.61,76.82,2154,26.55,134
2026,USA,West,2002,Tap,Filtration,4,92,30.83,99028,46.28,63.26,92.7,966,3.62,243
2027,India,South,2016,Lake,Boiling,18,37,38.56,30065,90.55,12.43,20.21,1826,17.09,698
2028,Nigeria,South,2020,River,Chlorination,27,37,36.19,68836,18.36,25.78,64.5,1032,12.45,591
2029,Nigeria,Central,2017,River,,16,20,76.38,1780,18.22,55.62,78.59,1528,6.28,215
2030,Indonesia,West,2010,Well,Chlorination,21,22,37.09,64163,10.81,31.93,92.58,2424,2.35,242
2031,Bangladesh,Central,2003,Well,Filtration,34,45,95.74,99325,73.87,85.55,48.67,814,1.09,129
2032,Indonesia,East,2015,Well,Boiling,48,68,99.51,84038,91.79,76.96,92.57,853,34.35,486
2033,India,South,2016,Tap,,14,29,33.05,30334,36.85,62.4,86.04,2668,13.23,814
2034,China,Central,2008,Lake,,18,39,51.86,62058,6.18,89.91,62.02,229,19.72,640
2035,Bangladesh,East,2005,River,,46,81,56.66,57458,15.6,29.46,40.56,341,11.67,31
2036,Ethiopia,Central,2023,Pond,Chlorination,49,69,58.78,77910,10.24,83.53,72.23,1938,6.63,770
2037,China,West,2019,Spring,Boiling,25,68,38.67,18485,59.23,34.37,40.84,2470,10.45,221
2038,Bangladesh,West,2024,Tap,Boiling,43,41,18.27,2806,28.23,57.73,47.91,1728,6.8,913
2039,Bangladesh,West,2001,River,Boiling,43,17,7.35,8322,89.74,44.75,57.36,2146,30.32,484
2040,India,West,2008,Lake,Chlorination,34,58,12.42,28903,16.23,45.46,59.84,710,36.3,706
2041,Mexico,North,2020,Tap,Filtration,42,12,90.33,59059,93.02,71.0,35.13,1498,17.38,505
2042,India,East,2005,Pond,Chlorination,22,83,29.48,1442,33.27,37.8,75.5,2345,32.92,848
2043,Bangladesh,East,2002,River,Filtration,9,20,9.53,37199,86.73,50.6,99.35,1187,17.03,197
2044,USA,West,2019,Tap,Chlorination,21,67,63.11,27281,94.9,26.94,39.51,659,17.87,192
2045,China,North,2005,River,Boiling,46,76,9.38,37017,98.64,71.08,64.36,1390,19.4,427
2046,India,West,2006,River,Boiling,10,81,8.87,90872,80.36,54.15,56.38,465,32.81,562
2047,Mexico,North,2000,Lake,Boiling,25,76,62.91,70776,10.17,30.41,44.62,583,37.45,549
2048,Brazil,West,2022,Spring,Chlorination,0,76,59.96,16873,5.54,31.27,53.58,2398,29.78,808
2049,Indonesia,South,2000,Lake,,35,60,6.06,49151,73.97,33.48,78.62,1471,35.54,542
2050,Bangladesh,South,2004,River,Chlorination,20,98,47.13,12919,89.7,65.94,53.18,770,25.71,83
2051,Ethiopia,Central,2005,Tap,Filtration,7,37,44.71,82827,16.61,57.61,60.54,2465,33.57,828
2052,Brazil,West,2012,Pond,Chlorination,19,39,55.58,51695,94.11,75.78,58.18,2842,22.27,45
2053,Nigeria,East,2001,Lake,Filtration,44,26,74.31,71308,61.02,55.72,64.42,1325,30.91,982
2054,Pakistan,Central,2014,Spring,Chlorination,16,57,29.71,80653,12.4,34.53,43.3,499,28.21,419
2055,Mexico,South,2014,River,,14,89,44.41,74794,16.7,87.03,60.78,2009,29.97,540
2056,Ethiopia,West,2012,Pond,,20,75,79.69,81139,6.6,80.89,30.79,1271,9.38,783
2057,Pakistan,Central,2024,Lake,Boiling,0,65,92.41,55409,14.32,32.31,79.31,2578,6.15,697
2058,Mexico,West,2013,Lake,,2,42,89.35,47649,73.21,83.02,28.87,961,26.12,24
2059,USA,South,2021,Lake,Chlorination,30,19,48.81,13473,21.88,67.61,82.8,1952,19.32,631
2060,Indonesia,Central,2006,Lake,,30,34,53.04,44830,56.17,43.18,86.04,2760,30.59,118
2061,Brazil,South,2013,Pond,Boiling,20,54,53.85,35247,72.11,47.35,21.52,1127,5.86,133
2062,China,North,2023,Tap,Chlorination,22,73,87.13,92564,89.53,45.71,86.47,2344,37.91,314
2063,Mexico,South,2009,Spring,Filtration,16,71,84.31,23048,58.99,73.75,71.85,2183,28.16,27
2064,China,West,2016,Spring,Chlorination,21,39,32.53,92618,56.97,24.04,27.75,1998,0.92,93
2065,Indonesia,East,2013,River,Boiling,21,45,17.96,20722,91.28,14.69,99.83,2337,23.06,714
2066,Bangladesh,South,2007,Well,,35,99,39.14,13976,29.49,49.88,69.24,351,12.5,927
2067,Nigeria,East,2003,Tap,,7,94,30.26,68351,20.37,33.23,52.07,1804,10.99,197
2068,Brazil,North,2015,River,Chlorination,46,78,95.18,5256,87.28,55.11,90.82,925,36.09,173
2069,Indonesia,Central,2023,River,Filtration,7,41,28.06,40064,7.45,88.26,23.33,2355,33.44,377
2070,Indonesia,Central,2012,Lake,Filtration,13,17,19.76,80350,18.97,63.72,77.39,363,0.38,731
2071,USA,East,2021,Well,Filtration,37,14,90.15,44904,41.13,86.74,31.5,650,7.27,403
2072,Pakistan,Central,2024,Well,Filtration,23,82,10.47,66068,36.13,68.56,64.2,1017,28.78,29
2073,Nigeria,South,2019,Tap,Chlorination,21,87,27.51,53983,70.61,16.07,27.68,2495,33.93,975
2074,Brazil,East,2017,Well,,14,98,45.03,15033,9.18,81.14,74.33,1154,28.7,772
2075,Bangladesh,West,2013,River,Filtration,19,65,60.32,56542,47.72,25.91,57.19,684,21.01,122
2076,Bangladesh,South,2017,Well,Chlorination,26,12,34.11,74559,80.86,79.18,20.54,2689,39.38,326
2077,India,South,2004,Well,Chlorination,27,56,50.63,87001,68.33,69.93,25.71,2221,31.89,366
2078,Indonesia,South,2008,Spring,Chlorination,21,8,21.49,70251,63.16,77.09,76.24,2747,18.72,836
2079,Mexico,West,2002,River,Filtration,30,98,58.28,17041,23.94,30.29,51.96,2526,23.34,159
2080,USA,North,2007,Pond,Filtration,8,65,41.97,60952,39.36,74.59,73.77,723,1.79,845
2081,Nigeria,Central,2019,Well,Chlorination,22,15,85.23,21829,18.07,58.83,51.19,1409,38.59,781
2082,Bangladesh,East,2021,Well,Chlorination,4,99,42.74,53434,50.89,16.55,48.94,1028,14.51,604
2083,Brazil,North,2009,Lake,Chlorination,44,1,45.49,53473,58.42,81.13,88.39,687,26.46,422
2084,India,East,2021,Well,,38,15,60.03,19572,63.12,80.14,88.38,423,26.68,835
2085,Brazil,Central,2018,Well,,16,71,14.07,25768,87.6,55.76,93.58,1184,2.28,67
2086,USA,West,2020,Spring,Boiling,39,0,17.37,28959,6.18,46.21,85.84,1769,10.63,63
2087,Mexico,South,2002,River,Boiling,4,81,79.44,97509,38.83,42.04,30.19,300,26.25,549
2088,India,South,2010,Tap,Filtration,6,25,28.8,44382,59.1,58.22,25.32,2111,36.49,370
2089,India,West,2010,River,,7,43,69.1,65255,57.01,77.34,24.67,2240,31.15,726
2090,Pakistan,North,2016,Lake,Boiling,6,4,11.55,8346,2.17,55.27,98.42,2922,23.21,432
2091,Nigeria,North,2015,River,Chlorination,21,20,82.54,38653,18.93,20.37,60.09,2679,9.3,66
2092,India,East,2006,Well,Chlorination,43,34,98.85,51808,84.57,34.49,29.21,748,37.95,73
2093,Pakistan,West,2003,Lake,Filtration,37,91,38.62,5954,51.54,63.46,63.54,1735,16.15,613
2094,Pakistan,North,2022,River,Filtration,20,53,51.54,90745,41.36,61.75,76.82,2032,6.0,295
2095,USA,West,2018,Lake,Boiling,3,89,45.39,96736,90.02,51.51,27.56,2637,0.87,351
2096,China,Central,2011,Tap,Chlorination,31,95,89.63,35395,7.5,29.24,47.71,2458,38.01,518
2097,Brazil,South,2014,River,Filtration,28,49,2.97,30178,92.23,31.65,35.03,2119,31.12,443
2098,Mexico,South,2010,Pond,Filtration,29,43,66.04,98390,2.78,48.74,98.03,1309,8.66,447
2099,Ethiopia,South,2004,Well,,2,84,65.93,55252,56.27,41.56,45.46,1728,5.67,544
2100,Brazil,West,2004,Lake,Boiling,4,3,39.47,56683,55.51,35.27,75.24,962,38.38,539
2101,India,West,2014,Pond,Filtration,18,41,23.49,8262,63.91,76.36,93.47,2455,9.63,775
2102,Mexico,East,2017,Pond,Boiling,7,40,25.49,21081,2.96,50.32,89.06,1185,18.48,90
2103,Bangladesh,South,2010,Spring,Chlorination,36,35,80.45,4926,53.05,50.25,51.52,971,24.43,390
2104,China,East,2011,Lake,Boiling,30,23,8.48,95083,11.36,44.24,44.87,2872,2.5,703
2105,Bangladesh,South,2001,Pond,Filtration,26,96,57.25,67510,15.6,64.47,84.74,984,13.78,872
2106,Bangladesh,East,2019,Spring,,12,4,32.07,13551,21.54,24.05,36.41,2847,37.75,933
2107,Nigeria,East,2014,Pond,Boiling,41,56,27.99,6489,61.32,85.49,77.39,1981,28.01,657
2108,Brazil,Central,2019,Well,Boiling,5,66,51.56,62363,39.01,18.37,86.82,2814,14.71,425
2109,Ethiopia,East,2003,Tap,Chlorination,0,10,89.99,9740,8.53,66.82,87.94,2251,31.67,628
2110,USA,West,2021,Spring,,29,44,62.57,64556,28.9,66.34,20.71,695,33.49,143
2111,Ethiopia,East,2017,Tap,Boiling,10,95,79.28,50067,7.66,19.12,59.99,2626,6.07,721
2112,Bangladesh,South,2005,Lake,,40,21,60.87,95831,66.41,89.44,48.61,555,23.46,895
2113,India,East,2022,Well,Filtration,30,10,70.38,38775,55.75,12.75,98.31,667,14.67,991
2114,China,North,2018,Spring,,15,37,44.38,6282,40.77,39.18,63.53,637,20.27,775
2115,Indonesia,South,2010,Lake,Filtration,14,58,92.75,47171,92.77,43.98,54.2,1027,18.76,817
2116,Ethiopia,North,2023,Pond,Chlorination,4,85,51.19,84798,51.87,74.22,39.55,900,20.15,700
2117,Bangladesh,South,2001,River,Chlorination,14,3,56.07,25737,88.75,12.39,87.65,245,20.88,568
2118,China,West,2007,Lake,Chlorination,0,66,53.45,13146,57.91,54.56,45.55,808,2.77,232
2119,Mexico,West,2010,Tap,Filtration,14,9,32.99,73329,37.68,26.32,86.14,248,7.11,124
2120,Brazil,West,2004,Well,Boiling,35,18,24.66,49940,53.9,55.81,91.33,2367,22.65,335
2121,Pakistan,North,2017,Well,Filtration,47,81,9.24,84145,15.19,61.71,24.65,2520,37.44,205
2122,Nigeria,Central,2022,Lake,,38,27,72.38,14832,67.48,12.73,60.8,1223,29.86,912
2123,China,South,2017,Pond,,7,94,30.35,31659,98.21,15.4,53.63,2087,9.55,258
2124,India,West,2013,River,Filtration,21,16,40.14,58418,24.74,16.82,51.45,383,14.47,235
2125,India,South,2021,Tap,Chlorination,26,23,92.15,33984,32.32,78.18,49.72,2592,13.42,292
2126,China,North,2009,Lake,Chlorination,33,0,57.51,85832,40.61,84.13,62.56,1019,30.78,459
2127,India,Central,2002,Lake,,29,4,11.51,71359,48.35,45.02,30.42,1806,38.89,63
2128,Brazil,North,2008,Well,,11,31,80.36,29098,71.91,79.98,89.7,1755,14.22,663
2129,India,South,2002,Tap,Boiling,1,52,27.1,52045,13.67,48.1,64.64,1892,0.59,754
2130,Ethiopia,Central,2010,River,Boiling,45,80,56.17,86500,30.25,42.09,47.77,1562,37.48,998
2131,Pakistan,Central,2011,Well,Boiling,37,56,51.98,11754,53.87,52.5,39.44,658,30.13,496
2132,India,North,2011,Lake,,21,84,25.33,50664,58.96,73.21,69.33,2472,33.37,159
2133,Pakistan,West,2002,Well,Boiling,16,42,13.35,32052,53.66,27.9,82.94,889,8.35,718
2134,Bangladesh,South,2020,Well,,34,85,22.7,35628,43.55,34.14,55.27,2622,25.83,65
2135,USA,East,2006,Spring,,41,38,11.54,92745,71.15,77.91,98.76,2242,9.31,885
2136,Brazil,East,2013,Well,Filtration,44,33,29.01,67982,20.45,83.28,62.85,439,0.46,219
2137,USA,North,2023,Pond,Boiling,22,77,99.74,4012,28.27,19.84,98.31,1037,6.28,325
2138,Bangladesh,South,2010,Well,Filtration,28,79,41.41,74154,44.45,66.39,97.01,867,36.91,572
2139,Brazil,South,2006,Pond,Filtration,28,4,86.66,67387,69.55,10.77,67.98,1337,8.61,409
2140,China,North,2024,Tap,Boiling,49,17,55.82,48878,8.24,29.69,66.51,2361,23.41,501
2141,China,South,2020,Well,,18,3,67.33,19959,11.57,15.49,28.45,1200,38.72,137
2142,Pakistan,West,2009,River,,16,91,17.32,20788,78.24,51.23,94.34,2164,3.03,911
2143,Bangladesh,North,2010,Pond,,7,90,28.93,11039,26.1,37.47,84.26,1655,32.32,778
2144,Pakistan,West,2014,Pond,Boiling,49,69,52.02,82947,96.35,21.01,60.04,1725,23.9,21
2145,Nigeria,South,2018,Lake,,6,10,88.35,11345,96.14,10.03,44.51,1594,12.94,33
2146,India,North,2015,Tap,Filtration,10,46,6.2,47370,68.59,41.07,87.08,1798,14.57,135
2147,Indonesia,South,2021,Well,Chlorination,2,84,51.68,77202,71.69,33.56,43.32,1761,1.09,340
2148,Nigeria,North,2020,River,Boiling,1,80,7.0,13967,65.1,13.74,63.35,1310,10.23,180
2149,India,South,2019,Lake,Chlorination,18,30,46.77,81829,17.73,78.14,35.91,1669,16.94,114
2150,Brazil,West,2011,Tap,Filtration,27,97,63.63,46936,50.05,42.86,84.36,804,28.68,939
2151,Pakistan,West,2017,Pond,Chlorination,27,12,74.98,22531,79.3,71.98,80.22,399,10.99,230
2152,Brazil,South,2022,River,Filtration,24,22,15.58,87580,77.47,43.76,43.34,1585,23.21,66
2153,Brazil,North,2012,Well,Chlorination,10,64,18.32,60540,89.88,15.4,29.39,2734,29.27,670
2154,India,East,2004,Spring,Chlorination,39,67,48.07,95797,90.08,41.54,34.17,2122,27.94,561
2155,Bangladesh,West,2003,Spring,,42,29,99.81,47443,26.15,80.89,69.31,2964,23.61,42
2156,India,West,2013,Tap,Chlorination,1,30,36.89,69315,72.17,10.62,32.0,283,23.21,170
2157,Mexico,East,2007,River,Filtration,11,46,43.9,23616,65.13,81.62,45.61,1470,28.85,933
2158,China,South,2008,Lake,Filtration,40,15,44.38,53668,88.58,62.54,87.14,2107,13.42,117
2159,China,North,2024,River,Filtration,37,42,9.91,13518,18.35,89.65,26.54,2515,18.01,74
2160,Nigeria,South,2018,Pond,Boiling,11,2,77.87,16240,73.98,83.29,66.49,664,38.65,85
2161,China,Central,2002,Spring,Filtration,49,11,26.8,20820,42.33,79.52,51.99,2465,26.74,55
2162,India,West,2004,Tap,Boiling,24,75,70.96,34312,39.45,13.0,29.63,1457,20.8,938
2163,Ethiopia,Central,2020,Well,Filtration,36,10,48.56,80518,3.58,32.42,60.75,2292,23.13,885
2164,Pakistan,West,2017,River,Boiling,30,15,61.95,3939,96.15,39.98,61.33,2407,4.18,462
2165,India,West,2000,Spring,Chlorination,16,28,7.29,17196,67.58,65.99,50.25,1381,23.68,459
2166,India,Central,2007,Lake,Chlorination,47,20,89.22,16448,59.07,61.89,24.43,979,33.46,941
2167,Indonesia,Central,2018,Tap,Filtration,11,57,25.9,67926,25.12,23.74,36.55,755,20.94,993
2168,Pakistan,South,2016,Well,Boiling,29,42,67.67,79795,65.84,68.95,52.38,2929,7.08,756
2169,Mexico,Central,2016,River,,1,4,80.21,61462,94.56,22.45,42.18,1473,17.93,959
2170,China,South,2010,Lake,,15,51,54.92,86641,16.33,46.51,32.84,1412,11.12,443
2171,Pakistan,South,2001,Well,,0,12,35.06,12692,98.38,56.3,58.96,1545,14.39,956
2172,China,South,2005,Pond,Chlorination,33,80,97.83,23862,42.74,79.65,51.81,2092,9.0,635
2173,Nigeria,West,2021,Spring,Chlorination,44,11,29.29,25571,97.82,60.51,73.2,993,13.36,317
2174,Pakistan,West,2013,Pond,Boiling,47,80,94.97,54491,63.39,86.39,64.83,2919,32.87,414
2175,China,Central,2002,Spring,Filtration,0,0,17.31,54447,32.41,89.56,33.58,418,30.31,645
2176,Mexico,West,2011,Lake,Chlorination,35,7,40.14,68064,37.44,50.71,75.01,2763,19.62,807
2177,USA,Central,2003,Pond,Filtration,2,15,15.57,27168,29.06,14.12,57.23,1262,31.3,152
2178,Brazil,West,2011,Spring,,33,14,2.22,81726,33.48,12.27,29.08,2024,39.02,658
2179,Brazil,North,2012,Tap,,11,18,27.51,95618,64.65,78.45,21.48,900,16.25,768
2180,Mexico,North,2001,Lake,Filtration,44,24,10.55,3407,1.66,49.99,70.11,2389,39.2,297
2181,Indonesia,Central,2001,Spring,Boiling,26,30,98.66,98775,96.76,39.34,69.49,2593,9.84,81
2182,USA,West,2014,River,,49,1,76.64,69179,76.85,32.76,85.64,502,38.18,416
2183,Nigeria,West,2022,Spring,Boiling,36,58,2.36,74955,94.1,32.54,80.99,1353,34.58,804
2184,Mexico,South,2016,Pond,,24,88,23.92,87810,71.75,15.83,90.2,2715,7.97,563
2185,Brazil,East,2006,Tap,Chlorination,11,30,67.67,8074,48.1,34.24,43.39,545,13.99,273
2186,Brazil,Central,2013,Well,,32,67,41.06,9806,18.97,61.58,53.05,375,28.32,230
2187,Brazil,East,2011,Well,Boiling,8,67,83.52,67713,51.63,40.82,24.95,2441,7.66,788
2188,Bangladesh,East,2016,Spring,Chlorination,0,11,51.48,35311,71.17,85.83,52.91,2584,23.63,926
2189,Mexico,Central,2013,Well,,49,16,66.06,8181,85.42,63.45,37.58,1402,21.39,764
2190,India,West,2005,Spring,Chlorination,22,84,60.51,94576,32.41,79.12,84.43,1975,11.67,53
2191,Nigeria,Central,2018,Tap,Chlorination,27,28,64.54,32214,51.05,19.13,72.5,2891,12.02,432
2192,Brazil,East,2023,Well,,2,85,24.55,69150,62.0,46.04,82.54,280,20.65,999
2193,China,West,2005,Pond,Filtration,37,35,38.58,46921,58.86,13.32,67.4,2408,11.99,298
2194,Mexico,North,2017,Pond,Filtration,35,79,6.96,5353,5.24,81.6,67.83,606,7.21,588
2195,Bangladesh,Central,2023,River,Boiling,43,62,59.59,93455,48.34,21.75,38.82,1404,30.93,832
2196,Mexico,Central,2004,Spring,Boiling,43,14,47.01,27962,80.9,74.43,73.59,1492,23.27,790
2197,Nigeria,West,2023,Well,,4,29,76.55,62665,80.23,83.9,31.52,1793,17.51,45
2198,Bangladesh,North,2023,Pond,Chlorination,28,50,22.23,97141,50.71,45.35,42.07,693,7.25,608
2199,Nigeria,North,2005,Tap,Chlorination,12,10,44.81,7099,95.24,41.15,34.4,2438,23.77,547
2200,Mexico,West,2001,Tap,Filtration,43,56,19.71,29946,82.62,58.01,95.96,1544,25.14,467
2201,India,South,2007,River,Filtration,3,12,62.17,2841,73.73,69.23,91.85,1583,19.19,303
2202,Nigeria,Central,2014,Tap,Chlorination,5,86,85.11,55971,51.56,61.65,89.99,753,14.91,109
2203,Bangladesh,Central,2014,Tap,Chlorination,37,54,77.01,45512,59.07,10.09,96.81,1318,34.69,160
2204,Bangladesh,East,2010,Well,Boiling,5,97,94.53,83529,22.32,72.87,69.01,2603,28.19,145
2205,Nigeria,West,2021,Spring,Chlorination,10,62,97.23,61425,53.24,21.79,91.58,1824,14.25,791
2206,Ethiopia,East,2021,Lake,Chlorination,26,83,77.66,27717,52.6,45.97,43.35,2617,23.72,289
2207,Mexico,East,2023,Tap,,45,1,30.11,88892,20.28,32.59,50.78,2992,9.35,384
2208,Ethiopia,North,2000,Tap,Chlorination,34,71,23.49,7908,95.11,84.23,57.36,2543,0.46,475
2209,Indonesia,Central,2017,Lake,Filtration,39,81,45.86,36341,24.48,50.17,27.15,2268,34.75,433
2210,Mexico,East,2011,Tap,Filtration,3,55,99.4,22254,10.42,51.77,85.98,872,32.76,622
2211,Nigeria,North,2011,Well,Boiling,26,6,42.44,38813,46.7,16.09,29.53,2614,25.58,503
2212,USA,West,2024,Well,Boiling,15,42,21.51,66951,68.61,81.79,83.97,2957,32.45,674
2213,Nigeria,East,2010,Lake,,17,30,94.55,82681,19.52,29.12,93.78,2801,31.23,127
2214,Ethiopia,Central,2007,Pond,Boiling,6,60,39.82,38782,18.29,43.12,65.43,748,34.41,760
2215,India,East,2006,Tap,Chlorination,10,21,69.71,48312,26.15,88.82,33.27,1935,35.67,989
2216,Nigeria,West,2022,Pond,Chlorination,7,61,79.24,57802,30.27,19.11,54.94,1608,32.75,418
2217,Nigeria,East,2020,Tap,,5,27,84.63,70939,24.62,67.48,31.11,1889,34.07,26
2218,India,Central,2001,Spring,Filtration,47,24,82.49,46103,47.07,30.81,29.52,2286,20.07,653
2219,Nigeria,North,2010,Tap,Chlorination,4,64,83.95,52314,1.83,43.58,80.49,2294,28.32,260
2220,Brazil,Central,2021,Well,Chlorination,5,31,67.43,39509,8.75,43.46,51.44,1535,13.33,606
2221,USA,North,2009,River,,37,88,41.58,89357,72.94,84.58,20.01,1333,34.45,733
2222,China,South,2002,River,Filtration,1,47,67.39,35240,41.23,10.83,23.88,385,34.34,886
2223,USA,Central,2019,River,Boiling,30,79,84.0,35442,36.03,39.38,85.42,1123,2.65,888
2224,Nigeria,Central,2009,River,Chlorination,38,92,36.36,50979,1.04,78.19,69.58,2206,13.88,114
2225,Brazil,West,2017,Pond,Filtration,31,23,31.06,21774,29.82,82.84,87.56,2574,6.86,858
2226,Mexico,East,2013,Pond,,8,80,35.68,28961,82.12,34.91,41.89,1951,5.43,620
2227,Nigeria,North,2017,Tap,,14,41,56.03,63342,34.04,29.36,45.15,2357,16.6,50
2228,Ethiopia,North,2023,Pond,Filtration,20,69,7.14,89734,96.37,46.9,69.35,2420,25.03,581
2229,Brazil,West,2007,Tap,,45,77,78.34,9531,39.0,69.67,73.21,1544,13.75,608
2230,India,West,2009,Spring,Boiling,27,89,15.61,45296,46.41,22.32,22.12,2763,12.37,478
2231,Brazil,East,2021,Tap,Filtration,44,91,15.02,93925,80.19,72.76,92.58,2180,3.78,564
2232,India,East,2012,River,Boiling,26,35,21.37,94260,98.3,51.01,83.93,260,15.32,959
2233,Indonesia,Central,2020,Lake,,4,30,58.54,56378,37.16,21.26,30.55,1394,18.84,829
2234,China,South,2007,Lake,Boiling,16,26,29.99,17431,11.99,63.74,20.83,2091,15.95,542
2235,Pakistan,East,2003,Well,Boiling,36,65,38.07,45622,52.31,60.26,81.53,1352,27.2,673
2236,Brazil,West,2003,Well,Boiling,23,82,93.3,77894,59.18,59.79,92.23,2906,11.53,430
2237,Bangladesh,East,2004,Tap,Boiling,30,91,85.03,62621,95.95,70.38,45.77,1274,28.64,643
2238,Ethiopia,North,2000,Lake,Filtration,34,44,85.51,63438,41.39,24.5,45.66,1799,35.31,987
2239,Nigeria,South,2016,River,,40,43,58.61,60470,9.08,65.8,61.17,2138,23.65,513
2240,Ethiopia,Central,2001,Pond,,40,56,86.91,88149,65.09,80.98,73.96,1805,15.55,693
2241,USA,North,2007,River,Chlorination,3,20,78.3,95544,2.11,52.42,71.81,2208,7.19,220
2242,Pakistan,North,2006,River,Boiling,19,54,95.42,38820,42.54,48.88,80.21,1246,37.3,142
2243,USA,South,2014,Tap,Boiling,42,14,8.31,69912,40.96,73.82,29.12,968,30.07,966
2244,Indonesia,Central,2024,Tap,Chlorination,16,33,4.82,88301,25.48,21.7,61.59,1284,9.86,309
2245,Pakistan,West,2004,Spring,Chlorination,45,2,19.15,59169,96.43,37.27,60.51,406,6.03,228
2246,Pakistan,Central,2001,River,Boiling,9,0,93.05,37059,40.34,78.3,95.99,992,1.97,399
2247,USA,East,2006,River,,36,23,61.35,85291,89.47,49.98,93.46,1076,7.62,343
2248,India,North,2007,Tap,Chlorination,20,42,43.76,1074,51.51,77.23,80.03,2099,29.3,396
2249,USA,East,2006,Tap,Boiling,20,26,52.25,1601,82.05,30.15,90.15,1224,25.18,586
2250,Ethiopia,West,2006,Spring,,48,8,83.3,18259,45.14,41.17,79.65,2799,38.7,680
2251,India,East,2013,Spring,Filtration,15,87,93.05,95538,99.15,75.89,77.64,2240,12.88,960
2252,Ethiopia,Central,2020,Well,Chlorination,32,16,73.51,38502,64.0,23.08,37.26,2524,31.46,310
2253,Indonesia,East,2017,Lake,Chlorination,9,91,76.47,86368,15.59,81.58,69.38,958,4.82,123
2254,Nigeria,West,2005,River,,43,38,33.4,79852,0.64,34.79,93.28,2162,22.5,595
2255,Mexico,West,2003,River,Filtration,17,54,47.77,72910,92.89,87.82,80.01,1361,18.67,832
2256,India,West,2009,Spring,,32,67,88.75,48781,68.68,76.22,68.38,2569,33.53,69
2257,Indonesia,Central,2017,Spring,Chlorination,28,92,79.02,14819,10.63,46.45,40.65,1859,28.06,936
2258,Bangladesh,West,2011,Well,Filtration,30,44,69.06,86224,74.35,69.38,74.29,1826,7.77,775
2259,Indonesia,North,2015,Lake,Boiling,23,27,8.39,86884,22.71,54.42,47.76,2493,39.36,764
2260,USA,West,2024,Well,Chlorination,11,55,5.87,39113,80.92,78.26,25.22,1200,32.93,124
2261,USA,East,2006,Lake,,19,28,14.78,36999,60.99,51.45,39.15,1719,14.19,986
2262,Mexico,East,2005,Pond,,5,28,58.98,24409,12.37,89.04,51.14,675,33.04,304
2263,Indonesia,East,2004,River,,7,68,54.57,21281,7.09,20.68,99.73,325,38.28,389
2264,China,Central,2002,Well,,13,10,94.38,90307,46.61,64.12,80.81,2513,35.61,625
2265,Nigeria,East,2011,Spring,,4,1,70.09,55442,93.69,29.65,42.37,2171,22.25,569
2266,USA,Central,2014,Well,Chlorination,35,67,30.81,97672,56.46,25.3,80.99,2385,23.09,89
2267,Mexico,Central,2009,Pond,Filtration,47,9,17.83,43814,75.91,42.66,48.61,1461,4.26,36
2268,Nigeria,West,2019,Well,,37,71,85.25,4250,46.95,39.4,68.63,1526,6.59,793
2269,Indonesia,North,2018,River,,2,86,47.04,52786,38.41,13.71,81.17,2768,39.3,445
2270,Indonesia,West,2015,Pond,Boiling,35,26,66.04,79160,82.22,44.22,79.27,1269,30.79,242
2271,Pakistan,West,2010,Spring,Boiling,21,86,57.38,93677,46.34,86.15,31.2,1596,1.02,263
2272,Mexico,Central,2007,Spring,Filtration,7,97,12.53,17770,14.15,47.35,86.04,2749,21.9,374
2273,USA,Central,2002,Tap,Chlorination,13,34,7.59,92170,27.45,34.15,93.84,1547,13.81,397
2274,China,East,2022,Pond,Chlorination,6,80,38.95,12499,56.14,85.93,38.67,843,12.46,947
2275,Indonesia,East,2006,Tap,Filtration,3,49,37.43,61628,40.26,50.46,46.35,1608,22.26,382
2276,China,West,2022,Tap,Filtration,18,73,68.03,31606,36.64,32.97,95.06,948,12.81,356
2277,Indonesia,South,2006,River,Filtration,42,1,63.96,87310,66.88,72.64,98.69,1104,10.06,447
2278,USA,South,2013,Well,,46,16,96.96,23485,63.63,27.89,56.28,2016,37.51,146
2279,Nigeria,East,2001,Spring,Chlorination,23,94,86.09,6027,31.4,29.82,22.76,1817,1.59,162
2280,Brazil,South,2009,Spring,Filtration,15,79,50.67,55548,35.94,35.95,94.63,654,17.45,353
2281,Nigeria,East,2018,Well,Boiling,5,23,51.0,20341,75.21,41.58,22.03,1973,20.45,67
2282,Indonesia,Central,2008,Spring,,43,56,68.06,24441,92.13,56.63,46.42,1023,17.6,229
2283,Ethiopia,West,2015,Well,,7,70,13.18,36566,32.42,51.22,27.18,1272,26.29,27
2284,Brazil,North,2018,Pond,,24,82,99.99,77626,29.19,69.5,60.94,2948,1.03,437
2285,Brazil,West,2017,River,,31,15,52.84,57154,26.53,67.37,23.01,720,35.4,611
